Epoch	Train_loss	Valid_loss	CER	WER	Time
20	2.922115984288129	2.9196821451187134	0.8215659224181159	1.0	109.8645544052124
40	2.566655397415161	2.688376784324646	0.8199327837147701	1.0	110.04434752464294
60	2.3705244917761195	2.6400915384292603	0.8101207199115656	1.0	109.9020483493805
80	2.2487531385638495	2.495977997779846	0.8295435844599222	1.0	109.94434404373169
100	2.150968676263636	2.4561573266983032	0.8252269592517897	1.0	109.977055311203
120	2.064976926554333	2.383755326271057	0.7985787771257544	1.0	109.75847291946411
140	1.9892607520927081	2.468297600746155	0.802833533761729	1.0	109.8942220211029
20	2.271649192680012	2.494832754135132	0.8224152085838146	1.0	72.59942317008972
40	1.9952767301689496	2.356395959854126	0.7999876003771952	1.0	72.85098528862
60	1.7719046446410092	2.360696792602539	0.7732708863923454	1.0	72.9557192325592
80	1.590690630403432	2.289028525352478	0.7508177382607949	1.0	72.68335151672363
100	1.4247119900855152	2.3797696828842163	0.74748104022088	1.0	72.86886548995972
Epoch	Train_loss	Valid_loss	CER	WER	Time
20	2.2752144011584194	2.501343846321106	0.8266968619141759	1.0	80.46790528297424
40	2.015388072891669	2.360149383544922	0.8081825721119489	1.0	80.65617156028748
60	1.7993296466090463	2.3497666120529175	0.775524489438693	1.0	80.71238398551941
80	1.6146958036856218	2.2622737884521484	0.7505516960385167	1.0	80.48343276977539
100	1.4480422599749132	2.3763511180877686	0.7445966926624843	1.0	80.68470931053162
20	2.2756904675201937	2.50295889377594	0.829533405848838	1.0	83.06643581390381
40	2.0170128670605747	2.3511581420898438	0.8035528750280236	1.0	83.2055492401123
60	1.7996895624832674	2.3487762212753296	0.7736414249246306	1.0	83.49955749511719
